model,experiment_name,error,n_filters,dropout,batch_norm,learning_rate
attention_resunet,attention_resunet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.1,True,0.001
attention_resunet,attention_resunet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.1,True,0.003
attention_resunet,attention_resunet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.1,True,0.005
attention_resunet,attention_resunet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.2,True,0.001
attention_resunet,attention_resunet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.2,True,0.003
attention_resunet,attention_resunet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.2,True,0.005
attention_resunet,attention_resunet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.3,True,0.001
attention_resunet,attention_resunet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.3,True,0.003
attention_resunet,attention_resunet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",16,0.3,True,0.005
attention_resunet,attention_resunet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.1,True,0.001
attention_resunet,attention_resunet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.1,True,0.003
attention_resunet,attention_resunet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.1,True,0.005
attention_resunet,attention_resunet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.2,True,0.001
attention_resunet,attention_resunet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.2,True,0.003
attention_resunet,attention_resunet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.2,True,0.005
attention_resunet,attention_resunet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.3,True,0.001
attention_resunet,attention_resunet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.3,True,0.003
attention_resunet,attention_resunet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",32,0.3,True,0.005
attention_resunet,attention_resunet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.1,True,0.001
attention_resunet,attention_resunet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.1,True,0.003
attention_resunet,attention_resunet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.1,True,0.005
attention_resunet,attention_resunet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.2,True,0.001
attention_resunet,attention_resunet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.2,True,0.003
attention_resunet,attention_resunet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.2,True,0.005
attention_resunet,attention_resunet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p001,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.3,True,0.001
attention_resunet,attention_resunet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p003,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.3,True,0.003
attention_resunet,attention_resunet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p005,"The argument `strides` cannot contains 0(s). Received: (0, 0)",64,0.3,True,0.005
