model,experiment_name,error,n_filters,dropout,batch_norm,learning_rate
attention_unet,attention_unet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.1,True,0.001
attention_unet,attention_unet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.1,True,0.003
attention_unet,attention_unet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.1,True,0.005
attention_unet,attention_unet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.2,True,0.001
attention_unet,attention_unet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.2,True,0.003
attention_unet,attention_unet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.2,True,0.005
attention_unet,attention_unet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.3,True,0.001
attention_unet,attention_unet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.3,True,0.003
attention_unet,attention_unet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 128) and (32, 32, 128)",16,0.3,True,0.005
attention_unet,attention_unet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.1,True,0.001
attention_unet,attention_unet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.1,True,0.003
attention_unet,attention_unet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.1,True,0.005
attention_unet,attention_unet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.2,True,0.001
attention_unet,attention_unet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.2,True,0.003
attention_unet,attention_unet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.2,True,0.005
attention_unet,attention_unet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.3,True,0.001
attention_unet,attention_unet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.3,True,0.003
attention_unet,attention_unet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 256) and (32, 32, 256)",32,0.3,True,0.005
attention_unet,attention_unet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.1,True,0.001
attention_unet,attention_unet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.1,True,0.003
attention_unet,attention_unet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.1,True,0.005
attention_unet,attention_unet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.2,True,0.001
attention_unet,attention_unet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.2,True,0.003
attention_unet,attention_unet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.2,True,0.005
attention_unet,attention_unet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p001,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.3,True,0.001
attention_unet,attention_unet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p003,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.3,True,0.003
attention_unet,attention_unet_n_filters64_dropout0p3_batch_normTrue_learning_rate0p005,"Inputs have incompatible shapes. Received shapes (64, 64, 512) and (32, 32, 512)",64,0.3,True,0.005
