image,dilution_factor,tile_idx,model_name,model_label,architecture,foreground_pct
10x_2025-05-15_02-05-00,10,0,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,0,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.3589630126953125
10x_2025-05-15_02-05-00,10,0,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3997802734375
10x_2025-05-15_02-05-00,10,0,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,0,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,1,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,1,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.412750244140625
10x_2025-05-15_02-05-00,10,1,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3849029541015625
10x_2025-05-15_02-05-00,10,1,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,1,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,2,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,2,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.429534912109375
10x_2025-05-15_02-05-00,10,2,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3997802734375
10x_2025-05-15_02-05-00,10,2,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,2,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,3,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,3,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4306793212890625
10x_2025-05-15_02-05-00,10,3,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3795623779296875
10x_2025-05-15_02-05-00,10,3,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,3,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,4,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,4,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4390716552734375
10x_2025-05-15_02-05-00,10,4,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3726959228515625
10x_2025-05-15_02-05-00,10,4,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,4,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,5,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,5,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.408935546875
10x_2025-05-15_02-05-00,10,5,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3589630126953125
10x_2025-05-15_02-05-00,10,5,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,5,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,6,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,6,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4306793212890625
10x_2025-05-15_02-05-00,10,6,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3753662109375
10x_2025-05-15_02-05-00,10,6,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,6,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,7,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,7,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.33721923828125
10x_2025-05-15_02-05-00,10,7,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4047393798828125
10x_2025-05-15_02-05-00,10,7,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,7,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,8,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,8,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4016876220703125
10x_2025-05-15_02-05-00,10,8,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.397491455078125
10x_2025-05-15_02-05-00,10,8,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,8,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,9,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,9,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.374603271484375
10x_2025-05-15_02-05-00,10,9,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4024505615234375
10x_2025-05-15_02-05-00,10,9,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,9,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,10,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,10,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.432586669921875
10x_2025-05-15_02-05-00,10,10,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.379180908203125
10x_2025-05-15_02-05-00,10,10,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,10,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,11,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,11,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4428863525390625
10x_2025-05-15_02-05-00,10,11,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3597259521484375
10x_2025-05-15_02-05-00,10,11,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,11,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,12,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,12,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4459381103515625
10x_2025-05-15_02-05-00,10,12,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3688812255859375
10x_2025-05-15_02-05-00,10,12,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,12,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,13,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,13,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4894256591796875
10x_2025-05-15_02-05-00,10,13,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.371551513671875
10x_2025-05-15_02-05-00,10,13,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,13,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,14,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,14,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.390625
10x_2025-05-15_02-05-00,10,14,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.4047393798828125
10x_2025-05-15_02-05-00,10,14,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,14,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,15,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,15,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.389862060546875
10x_2025-05-15_02-05-00,10,15,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3932952880859375
10x_2025-05-15_02-05-00,10,15,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,15,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,16,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,16,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4207611083984375
10x_2025-05-15_02-05-00,10,16,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.39215087890625
10x_2025-05-15_02-05-00,10,16,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,16,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,17,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,17,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.443267822265625
10x_2025-05-15_02-05-00,10,17,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3948211669921875
10x_2025-05-15_02-05-00,10,17,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,17,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,18,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,18,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.4444122314453125
10x_2025-05-15_02-05-00,10,18,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.36773681640625
10x_2025-05-15_02-05-00,10,18,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,18,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,19,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,19,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.42572021484375
10x_2025-05-15_02-05-00,10,19,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.3833770751953125
10x_2025-05-15_02-05-00,10,19,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,19,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,20,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,20,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.431060791015625
10x_2025-05-15_02-05-00,10,20,unet_lr5e-05_d0.3,"U-Net (lr5e-05, d0.3)",unet,0.373077392578125
10x_2025-05-15_02-05-00,10,20,resunet,ResUNet,resunet,0.0
10x_2025-05-15_02-05-00,10,20,attention_resunet,Attention ResUNet,attention_resunet,0.0
10x_2025-05-15_02-05-00,10,21,unet_best,U-Net (best),unet,0.0
10x_2025-05-15_02-05-00,10,21,unet_lr5e-05_d0.2,"U-Net (lr5e-05, d0.2)",unet,0.3353118896484375
