image,dilution,dilution_label,architecture,density_threshold_0.2_mean,density_threshold_0.2_median,density_threshold_0.2_std,density_threshold_0.5_mean,density_threshold_0.5_median,density_threshold_0.5_std,density_threshold_0.8_mean,density_threshold_0.8_median,density_threshold_0.8_std,density_threshold_0.95_mean,density_threshold_0.95_median,density_threshold_0.95_std,density_clahe_otsu_pred_mean,density_clahe_otsu_pred_median,density_clahe_otsu_pred_std,density_clahe_otsu_orig_mean,density_clahe_otsu_orig_median,density_clahe_otsu_orig_std
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,Attention_ResUNet,0.0024437223161969867,0.0015411376953125,0.004225830823708738,0.00045612880161830356,0.0004329681396484375,0.00021463846286087489,4.087175641741071e-07,0.0,2.1627300625375403e-06,0.0,0.0,0.0,0.9126435688563755,0.9648227691650391,0.13806482397907646,0.48917756761823383,0.5012760162353516,0.06762279690209878
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,Attention_UNet,0.0038276399884905133,0.0035953521728515625,0.0019980675949325824,0.0005775179181780134,0.0005207061767578125,0.0003129349576058368,1.7711094447544643e-06,0.0,4.8120706390924375e-06,0.0,0.0,0.0,0.6701395852225167,0.7205810546875,0.1771918244983687,0.48917756761823383,0.5012760162353516,0.06762279690209878
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,UNet,0.0028674261910574777,0.0026035308837890625,0.0016131948878448435,0.0007119859967912946,0.0006351470947265625,0.0004540720947328759,3.555842808314732e-05,2.09808349609375e-05,3.9657817766557904e-05,0.0,0.0,0.0,0.6812925338745117,0.6695060729980469,0.07833379652669535,0.48917756761823383,0.5012760162353516,0.06762279690209878
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,Attention_ResUNet,0.044940403529575894,0.04090690612792969,0.016129873928770664,0.013683864048549108,0.012783050537109375,0.0039026524329864023,7.397787911551339e-05,5.91278076171875e-05,6.97728517873361e-05,0.0,0.0,0.0,0.9396597998482841,0.9458217620849609,0.02245092106367138,0.06519644601004464,0.03979301452636719,0.06150051700288383
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,Attention_UNet,0.05939769744873047,0.052913665771484375,0.019286337730211846,0.014369283403669084,0.013545989990234375,0.0035375379892428013,0.00042561122349330356,0.00019073486328125,0.0006829665006550816,2.7247837611607143e-06,0.0,7.03066961392489e-06,0.879279545375279,0.8919315338134766,0.05944030549316617,0.06519644601004464,0.03979301452636719,0.06150051700288383
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,UNet,0.0604205812726702,0.050960540771484375,0.02507623400996772,0.017676217215401784,0.01732635498046875,0.003836882450406318,0.0011969975062779018,0.001155853271484375,0.00048402008321095857,0.0,0.0,0.0,0.9317492076328823,0.9482173919677734,0.03823462969690373,0.06519644601004464,0.03979301452636719,0.06150051700288383
160x_2025-05-15_02-05-00.tif,160,160x,Attention_ResUNet,0.5575825827462333,0.5575790405273438,0.06391195167672628,0.27145562853131977,0.26522064208984375,0.03486210654197735,0.05972848619733538,0.05847358703613281,0.02065883311235472,8.215223039899553e-05,7.62939453125e-06,0.00015130913747768876,0.5538441794259208,0.5462684631347656,0.027543400742512648,0.31470857347760883,0.30344390869140625,0.036618334016925956
160x_2025-05-15_02-05-00.tif,160,160x,Attention_UNet,0.5614644459315709,0.5620155334472656,0.09724073183140239,0.25932325635637554,0.2449359893798828,0.038179747658230914,0.025811467851911272,0.022306442260742188,0.012638236291434523,8.310590471540178e-06,0.0,2.820571652779046e-05,0.548813956124442,0.5383815765380859,0.03832204121319398,0.31470857347760883,0.30344390869140625,0.036618334016925956
160x_2025-05-15_02-05-00.tif,160,160x,UNet,0.6271145684378487,0.6115016937255859,0.050714444248753404,0.2808792931692941,0.26611328125,0.05918860591423491,0.06348460061209542,0.05637168884277344,0.02178814199923541,0.0005509512765066964,0.0004673004150390625,0.0004673177767173785,0.553994996207101,0.5543384552001953,0.021752496014532163,0.31470857347760883,0.30344390869140625,0.036618334016925956
2560x_2025-05-16_00-59-00_002.tif,2560,2560x,Attention_ResUNet,0.033885955810546875,0.03197479248046875,0.013933096532038529,0.010531289236886161,0.010919570922851562,0.002483022465180511,0.00012384142194475447,5.14984130859375e-05,0.00016260299136772023,0.0,0.0,0.0,0.9520552498953683,0.9599151611328125,0.02440184719034936,0.11823926653180804,0.032032012939453125,0.12810181257592662
