image,dilution,dilution_label,tile_idx,position_y,position_x,architecture,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,0,0,0,UNet,0.007049560546875,0.0020751953125,0.0001068115234375,0.0,0.9943580627441406,0.4085540771484375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,0,0,0,Attention_UNet,0.00677490234375,0.0012359619140625,0.0,0.0,0.9862213134765625,0.4085540771484375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,0,0,0,Attention_ResUNet,0.00366973876953125,0.000461578369140625,0.0,0.0,0.9640617370605469,0.4085540771484375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,1,0,512,UNet,0.00203704833984375,0.00064849853515625,2.288818359375e-05,0.0,0.6356582641601562,0.37102508544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,1,0,512,Attention_UNet,0.003204345703125,0.000484466552734375,0.0,0.0,0.6663894653320312,0.37102508544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,1,0,512,Attention_ResUNet,0.001583099365234375,0.00043487548828125,0.0,0.0,0.9655838012695312,0.37102508544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,2,0,1024,UNet,0.00238037109375,0.000774383544921875,7.2479248046875e-05,0.0,0.6398391723632812,0.47954559326171875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,2,0,1024,Attention_UNet,0.003505706787109375,0.000728607177734375,0.0,0.0,0.7515945434570312,0.47954559326171875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,2,0,1024,Attention_ResUNet,0.002285003662109375,0.000667572021484375,0.0,0.0,0.9669761657714844,0.47954559326171875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,3,0,1536,UNet,0.00127410888671875,0.000331878662109375,3.0517578125e-05,0.0,0.6695404052734375,0.5380973815917969
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,3,0,1536,Attention_UNet,0.001987457275390625,0.000308990478515625,0.0,0.0,0.7637252807617188,0.5380973815917969
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,3,0,1536,Attention_ResUNet,0.000965118408203125,0.000301361083984375,0.0,0.0,0.96087646484375,0.5380973815917969
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,4,0,2048,UNet,0.003337860107421875,0.000858306884765625,4.9591064453125e-05,0.0,0.6786155700683594,0.4058189392089844
