image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,0,0,0,0.04824829,0.01404953,0.0012779236,7.6293945e-06,0.0449066162109375,0.16543960571289062
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,1,0,512,0.035972595,0.012290955,0.0012817383,0.0,0.028598785400390625,0.325042724609375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,2,0,1024,0.033866882,0.013523102,0.001953125,0.0,0.032135009765625,0.02635955810546875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,3,0,1536,0.030239105,0.012779236,0.0018806458,0.0,0.02725982666015625,0.02613067626953125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,4,0,2048,0.028640747,0.011726379,0.0014533997,0.0,0.02773284912109375,0.2507514953613281
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,5,0,2560,0.03603363,0.013534546,0.0009613037,0.0,0.04522705078125,0.363128662109375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,6,0,3072,0.03870392,0.011295319,9.1552734e-05,0.0,0.12049102783203125,0.24284744262695312
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,7,512,0,0.055164337,0.012447357,0.0009536743,0.0,0.09738540649414062,0.028614044189453125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,8,512,512,0.033275604,0.009399414,0.0008583069,0.0,0.031764984130859375,0.22090530395507812
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,9,512,1024,0.03535843,0.0126953125,0.0013694763,0.0,0.030948638916015625,0.02555084228515625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,10,512,1536,0.035202026,0.014598846,0.0019226074,0.0,0.03363800048828125,0.0271759033203125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,11,512,2048,0.029689789,0.012042999,0.0010948181,0.0,0.028064727783203125,0.025386810302734375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,12,512,2560,0.032730103,0.012687683,0.0008773804,0.0,0.0372467041015625,0.03515625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,13,512,3072,0.033851624,0.012630463,0.00060653687,0.0,0.04473876953125,0.3348197937011719
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,14,1024,0,0.08638382,0.016693115,0.0008583069,0.0,0.13384628295898438,0.03417205810546875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,15,1024,512,0.054973602,0.0134391785,0.0009460449,0.0,0.06349563598632812,0.0267181396484375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,16,1024,1024,0.036579132,0.011253357,0.0014266968,0.00010681152,0.031337738037109375,0.0251312255859375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,17,1024,1536,0.03892517,0.014190674,0.0012931824,0.0,0.03676605224609375,0.3385353088378906
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,18,1024,2048,0.03621292,0.014377594,0.0019493103,1.5258789e-05,0.04050445556640625,0.042339324951171875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,19,1024,2560,0.032798767,0.01341629,0.0013465881,0.0,0.0334320068359375,0.027698516845703125
