image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,0,0,0,0.0070495605,0.0020751953,0.00010681152,0.0,0.00565338134765625,0.4085540771484375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,1,0,512,0.0020370483,0.00064849854,2.2888184e-05,0.0,0.3645057678222656,0.37102508544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,2,0,1024,0.002380371,0.00077438354,7.247925e-05,0.0,0.3602027893066406,0.47954559326171875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,3,0,1536,0.0012741089,0.00033187866,3.0517578e-05,0.0,0.3304481506347656,0.5380973815917969
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,4,0,2048,0.00333786,0.0008583069,4.9591064e-05,0.0,0.3213958740234375,0.4058189392089844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,5,0,2560,0.003353119,0.0006866455,3.0517578e-05,0.0,0.3095664978027344,0.5608749389648438
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,6,0,3072,0.0054244995,0.0002937317,0.0,0.0,0.2791938781738281,0.24615097045898438
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,7,512,0,0.0057907104,0.0017166138,8.773804e-05,0.0,0.2638053894042969,0.5058784484863281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,8,512,512,0.003353119,0.00092697144,3.4332275e-05,0.0,0.348846435546875,0.5483131408691406
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,9,512,1024,0.002960205,0.00092697144,0.000102996826,0.0,0.3546142578125,0.4955940246582031
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,10,512,1536,0.0026359558,0.0009536743,6.1035156e-05,0.0,0.3308868408203125,0.5264244079589844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,11,512,2048,0.00049972534,0.00018310547,1.9073486e-05,0.0,0.4232177734375,0.5729217529296875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,12,512,2560,0.002166748,0.00050354004,1.5258789e-05,0.0,0.3761787414550781,0.5464363098144531
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,13,512,3072,0.0038833618,0.0008201599,0.0,0.0,0.3241729736328125,0.4801826477050781
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,14,1024,0,0.003376007,0.00090789795,8.392334e-05,0.0,0.3546638488769531,0.5289077758789062
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,15,1024,512,0.00036621094,0.0,0.0,0.0,0.4018898010253906,0.5337066650390625
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,16,1024,1024,0.004295349,0.0011177063,1.1444092e-05,0.0,0.3254127502441406,0.4910926818847656
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,17,1024,1536,0.000579834,0.00015640259,3.8146973e-06,0.0,0.3839530944824219,0.5455741882324219
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,18,1024,2048,0.0009918213,0.00034713745,1.5258789e-05,0.0,0.3705329895019531,0.4964790344238281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,19,1024,2560,0.0024147034,0.0007247925,7.6293945e-06,0.0,0.31353759765625,0.4650535583496094
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,20,1024,3072,0.0018806458,0.00050735474,0.0,0.0,0.33037567138671875,0.5305633544921875
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,21,1536,0,0.0054244995,0.0013580322,0.0001449585,0.0,0.18811416625976562,0.45782470703125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,22,1536,512,0.0027427673,0.00046157837,5.340576e-05,0.0,0.22780227661132812,0.4920005798339844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,23,1536,1024,0.0026931763,0.00051116943,3.4332275e-05,0.0,0.31610870361328125,0.5188179016113281
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,24,1536,1536,0.002571106,0.00049591064,3.8146973e-06,0.0,0.35395050048828125,0.4740562438964844
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,25,1536,2048,0.0019989014,0.0004234314,0.0,0.0,0.3405303955078125,0.45099639892578125
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,26,1536,2560,0.0024375916,0.00060272217,3.8146973e-06,0.0,0.31108856201171875,0.53460693359375
10240x_2025-05-29_02-22-00_002.tif,10240,10240x,27,1536,3072,0.0023651123,0.00062179565,0.0,0.0,0.3135986328125,0.5108222961425781
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,0,0,0,0.09063339,0.021278381,0.0009841919,0.0,0.0945281982421875,0.101226806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,1,0,512,0.059906006,0.018184662,0.0013160706,0.0,0.054134368896484375,0.050632476806640625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,2,0,1024,0.050178528,0.018226624,0.0014533997,0.0,0.049373626708984375,0.038722991943359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,3,0,1536,0.046527863,0.019233704,0.0018959045,0.0,0.046558380126953125,0.03981781005859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,4,0,2048,0.03952408,0.016204834,0.001121521,0.0,0.038970947265625,0.11442947387695312
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,5,0,2560,0.051742554,0.019470215,0.0008354187,0.0,0.05924224853515625,0.19646453857421875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,6,0,3072,0.052005768,0.014808655,0.00025558472,0.0,0.09303665161132812,0.23268890380859375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,7,512,0,0.10202789,0.022819519,0.0014419556,0.0,0.12115097045898438,0.049846649169921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,8,512,512,0.06760788,0.016586304,0.0014228821,0.0,0.07039642333984375,0.035846710205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,9,512,1024,0.045082092,0.015907288,0.0021400452,0.0,0.037319183349609375,0.0326690673828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,10,512,1536,0.03435135,0.013256073,0.0015525818,0.0,0.033527374267578125,0.024547576904296875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,11,512,2048,0.040473938,0.016357422,0.0015068054,0.0,0.040241241455078125,0.031070709228515625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,12,512,2560,0.042354584,0.017028809,0.0016746521,0.0,0.04303741455078125,0.039768218994140625
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,13,512,3072,0.06389618,0.02532959,0.0020179749,0.0,0.06621551513671875,0.07495498657226562
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,14,1024,0,0.110248566,0.021186829,0.00077056885,0.0,0.15390396118164062,0.04204559326171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,15,1024,512,0.080566406,0.017623901,0.0011901855,0.0,0.09564208984375,0.037395477294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,16,1024,1024,0.04834366,0.013332367,0.0007019043,0.0,0.04752349853515625,0.026760101318359375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,17,1024,1536,0.038913727,0.013217926,0.0010528564,0.0,0.034137725830078125,0.028057098388671875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,18,1024,2048,0.033870697,0.0126953125,0.0011062622,0.0,0.039012908935546875,0.03829193115234375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,19,1024,2560,0.039463043,0.015029907,0.00075531006,0.0,0.045024871826171875,0.033893585205078125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,20,1024,3072,0.059921265,0.023605347,0.00157547,0.0,0.06273651123046875,0.06014251708984375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,21,1536,0,0.12603378,0.023181915,0.00078201294,0.0,0.17264556884765625,0.048725128173828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,22,1536,512,0.10531235,0.01922226,0.0006713867,0.0,0.14357376098632812,0.041301727294921875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,23,1536,1024,0.06270981,0.013427734,0.00046539307,0.0,0.07628250122070312,0.2540092468261719
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,24,1536,1536,0.049045563,0.013889313,0.0008430481,0.0,0.04593658447265625,0.028778076171875
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,25,1536,2048,0.03753662,0.012031555,0.0007095337,0.0,0.0345611572265625,0.027950286865234375
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,26,1536,2560,0.049556732,0.017654419,0.001499176,0.0,0.047542572021484375,0.03949737548828125
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,27,1536,3072,0.063934326,0.024147034,0.0017776489,0.0,0.06464004516601562,0.055908203125
160x_2025-05-15_02-05-00.tif,160,160x,0,0,0,0.6980667,0.3475113,0.106472015,0.0016098022,0.4687919616699219,0.3269767761230469
160x_2025-05-15_02-05-00.tif,160,160x,1,0,512,0.64354324,0.2749939,0.075969696,0.0009536743,0.4459190368652344,0.2939453125
160x_2025-05-15_02-05-00.tif,160,160x,2,0,1024,0.6049881,0.2569847,0.06590271,0.0009765625,0.4392280578613281,0.283599853515625
160x_2025-05-15_02-05-00.tif,160,160x,3,0,1536,0.61151505,0.28107834,0.07178879,0.00035858154,0.4461250305175781,0.2939720153808594
160x_2025-05-15_02-05-00.tif,160,160x,4,0,2048,0.6204643,0.30409622,0.06820679,0.00020980835,0.45290374755859375,0.3108863830566406
160x_2025-05-15_02-05-00.tif,160,160x,5,0,2560,0.65628433,0.34560013,0.080005646,0.000118255615,0.4624443054199219,0.3357276916503906
160x_2025-05-15_02-05-00.tif,160,160x,6,0,3072,0.6932335,0.38965607,0.09077835,4.9591064e-05,0.4704933166503906,0.4084625244140625
160x_2025-05-15_02-05-00.tif,160,160x,7,512,0,0.67015076,0.28817368,0.06933975,0.00049591064,0.44541168212890625,0.3111763000488281
160x_2025-05-15_02-05-00.tif,160,160x,8,512,512,0.626812,0.25078583,0.064331055,0.0017700195,0.4321136474609375,0.2882347106933594
160x_2025-05-15_02-05-00.tif,160,160x,9,512,1024,0.5638809,0.21327591,0.04824829,0.000541687,0.4162864685058594,0.2690544128417969
160x_2025-05-15_02-05-00.tif,160,160x,10,512,1536,0.5745659,0.23557281,0.049819946,0.00035095215,0.4431419372558594,0.2881011962890625
160x_2025-05-15_02-05-00.tif,160,160x,11,512,2048,0.60948944,0.26623154,0.05526352,0.00018692017,0.45586395263671875,0.30364227294921875
160x_2025-05-15_02-05-00.tif,160,160x,12,512,2560,0.6574974,0.31155396,0.06735611,0.0001335144,0.4655876159667969,0.3285255432128906
160x_2025-05-15_02-05-00.tif,160,160x,13,512,3072,0.75112915,0.43458176,0.11881256,0.00019836426,0.49164581298828125,0.39292144775390625
160x_2025-05-15_02-05-00.tif,160,160x,14,1024,0,0.62467957,0.2674942,0.056861877,0.0005607605,0.4391937255859375,0.30324554443359375
160x_2025-05-15_02-05-00.tif,160,160x,15,1024,512,0.6139412,0.24282837,0.05228424,0.00049209595,0.4162101745605469,0.2877769470214844
160x_2025-05-15_02-05-00.tif,160,160x,16,1024,1024,0.59176636,0.23087692,0.048202515,0.0006713867,0.4215812683105469,0.28485107421875
160x_2025-05-15_02-05-00.tif,160,160x,17,1024,1536,0.5698509,0.21796036,0.03767395,0.0002937317,0.43003082275390625,0.2861213684082031
160x_2025-05-15_02-05-00.tif,160,160x,18,1024,2048,0.59540176,0.24879074,0.046676636,0.00017929077,0.45055389404296875,0.30901336669921875
160x_2025-05-15_02-05-00.tif,160,160x,19,1024,2560,0.6114845,0.26600266,0.05344391,0.00049591064,0.45569610595703125,0.3170204162597656
160x_2025-05-15_02-05-00.tif,160,160x,20,1024,3072,0.72652435,0.38524246,0.09753418,0.00048828125,0.48555755615234375,0.386932373046875
160x_2025-05-15_02-05-00.tif,160,160x,21,1536,0,0.581913,0.27560043,0.055892944,0.0005378723,0.4479713439941406,0.31601715087890625
160x_2025-05-15_02-05-00.tif,160,160x,22,1536,512,0.5861931,0.2365036,0.043376923,0.0004119873,0.4212913513183594,0.2928047180175781
160x_2025-05-15_02-05-00.tif,160,160x,23,1536,1024,0.6046524,0.2250557,0.042877197,0.0017204285,0.4183769226074219,0.2894859313964844
160x_2025-05-15_02-05-00.tif,160,160x,24,1536,1536,0.5887909,0.22226715,0.039546967,0.00044631958,0.4237709045410156,0.29175567626953125
160x_2025-05-15_02-05-00.tif,160,160x,25,1536,2048,0.573082,0.22298431,0.033008575,0.00025177002,0.4219627380371094,0.30200958251953125
160x_2025-05-15_02-05-00.tif,160,160x,26,1536,2560,0.59573364,0.2539444,0.046138763,0.00019073486,0.43781280517578125,0.320709228515625
