architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
attention_unet,16,0.1,0.001,0.6233780980110168,attention_unet_n_filters16_dropout0.1_learning_rate0.001
attention_unet,16,0.1,0.003,0.5629929602146149,attention_unet_n_filters16_dropout0.1_learning_rate0.003
attention_unet,16,0.1,0.005,0.03596278838813305,attention_unet_n_filters16_dropout0.1_learning_rate0.005
attention_unet,16,0.2,0.001,0.31080618053674697,attention_unet_n_filters16_dropout0.2_learning_rate0.001
attention_unet,16,0.2,0.003,0.48418818712234496,attention_unet_n_filters16_dropout0.2_learning_rate0.003
attention_unet,16,0.2,0.005,0.35054659843444824,attention_unet_n_filters16_dropout0.2_learning_rate0.005
attention_unet,16,0.3,0.001,7.971218268787439e-10,attention_unet_n_filters16_dropout0.3_learning_rate0.001
attention_unet,16,0.3,0.003,0.3539075404405594,attention_unet_n_filters16_dropout0.3_learning_rate0.003
attention_unet,16,0.3,0.005,0.4208019196987152,attention_unet_n_filters16_dropout0.3_learning_rate0.005
attention_unet,32,0.1,0.001,0.5488749146461487,attention_unet_n_filters32_dropout0.1_learning_rate0.001
attention_unet,32,0.1,0.003,0.4311648547649384,attention_unet_n_filters32_dropout0.1_learning_rate0.003
attention_unet,32,0.1,0.005,0.4820799738168716,attention_unet_n_filters32_dropout0.1_learning_rate0.005
attention_unet,32,0.2,0.001,0.576952314376831,attention_unet_n_filters32_dropout0.2_learning_rate0.001
attention_unet,32,0.2,0.003,0.5010233521461487,attention_unet_n_filters32_dropout0.2_learning_rate0.003
attention_unet,32,0.2,0.005,0.00018653063088453493,attention_unet_n_filters32_dropout0.2_learning_rate0.005
attention_unet,32,0.3,0.001,0.3784780502319336,attention_unet_n_filters32_dropout0.3_learning_rate0.001
attention_unet,32,0.3,0.003,0.48112504482269286,attention_unet_n_filters32_dropout0.3_learning_rate0.003
attention_unet,32,0.3,0.005,8.209732265746506e-05,attention_unet_n_filters32_dropout0.3_learning_rate0.005
attention_unet,64,0.1,0.001,0.5428964018821716,attention_unet_n_filters64_dropout0.1_learning_rate0.001
attention_unet,64,0.1,0.003,0.5251788318157196,attention_unet_n_filters64_dropout0.1_learning_rate0.003
attention_unet,64,0.1,0.005,0.5274649441242218,attention_unet_n_filters64_dropout0.1_learning_rate0.005
attention_unet,64,0.2,0.001,0.4790813744068146,attention_unet_n_filters64_dropout0.2_learning_rate0.001
attention_unet,64,0.2,0.003,0.5041660845279694,attention_unet_n_filters64_dropout0.2_learning_rate0.003
attention_unet,64,0.2,0.005,0.49593244194984437,attention_unet_n_filters64_dropout0.2_learning_rate0.005
attention_unet,64,0.3,0.001,0.529919695854187,attention_unet_n_filters64_dropout0.3_learning_rate0.001
attention_unet,64,0.3,0.003,0.470266717672348,attention_unet_n_filters64_dropout0.3_learning_rate0.003
attention_unet,64,0.3,0.005,0.48323324918746946,attention_unet_n_filters64_dropout0.3_learning_rate0.005
attention_resunet,16,0.1,0.001,0.07209430783987045,attention_resunet_n_filters16_dropout0.1_learning_rate0.001
attention_resunet,16,0.1,0.003,0.5688317239284515,attention_resunet_n_filters16_dropout0.1_learning_rate0.003
attention_resunet,16,0.1,0.005,0.5961534857749939,attention_resunet_n_filters16_dropout0.1_learning_rate0.005
