architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
attention_unet,16,0.1,0.001,0.511740916967392,attention_unet_n_filters16_dropout0.1_learning_rate0.001
attention_unet,16,0.1,0.003,0.5657422959804534,attention_unet_n_filters16_dropout0.1_learning_rate0.003
attention_unet,16,0.1,0.005,0.4920045018196106,attention_unet_n_filters16_dropout0.1_learning_rate0.005
attention_unet,16,0.2,0.001,0.5145859062671662,attention_unet_n_filters16_dropout0.2_learning_rate0.001
attention_unet,16,0.2,0.003,0.05879983641207218,attention_unet_n_filters16_dropout0.2_learning_rate0.003
attention_unet,16,0.2,0.005,0.4291668817400932,attention_unet_n_filters16_dropout0.2_learning_rate0.005
attention_unet,16,0.3,0.001,0.5094111025333404,attention_unet_n_filters16_dropout0.3_learning_rate0.001
attention_unet,16,0.3,0.003,0.42707306146621704,attention_unet_n_filters16_dropout0.3_learning_rate0.003
attention_unet,16,0.3,0.005,0.43587817549705504,attention_unet_n_filters16_dropout0.3_learning_rate0.005
attention_unet,32,0.1,0.001,0.5998195767402649,attention_unet_n_filters32_dropout0.1_learning_rate0.001
attention_unet,32,0.1,0.003,0.5198309063911438,attention_unet_n_filters32_dropout0.1_learning_rate0.003
attention_unet,32,0.1,0.005,0.4412988841533661,attention_unet_n_filters32_dropout0.1_learning_rate0.005
attention_unet,32,0.2,0.001,0.5320502460002899,attention_unet_n_filters32_dropout0.2_learning_rate0.001
attention_unet,32,0.2,0.003,0.5111814141273499,attention_unet_n_filters32_dropout0.2_learning_rate0.003
attention_unet,32,0.2,0.005,0.48785879015922545,attention_unet_n_filters32_dropout0.2_learning_rate0.005
attention_unet,32,0.3,0.001,0.521223270893097,attention_unet_n_filters32_dropout0.3_learning_rate0.001
attention_unet,32,0.3,0.003,0.4968175649642944,attention_unet_n_filters32_dropout0.3_learning_rate0.003
attention_unet,32,0.3,0.005,0.4631041944026947,attention_unet_n_filters32_dropout0.3_learning_rate0.005
attention_unet,64,0.1,0.001,0.565882933139801,attention_unet_n_filters64_dropout0.1_learning_rate0.001
attention_unet,64,0.1,0.003,0.4977011620998383,attention_unet_n_filters64_dropout0.1_learning_rate0.003
attention_unet,64,0.1,0.005,0.527765691280365,attention_unet_n_filters64_dropout0.1_learning_rate0.005
attention_unet,64,0.2,0.001,0.4890819787979126,attention_unet_n_filters64_dropout0.2_learning_rate0.001
attention_unet,64,0.2,0.003,0.4997100293636322,attention_unet_n_filters64_dropout0.2_learning_rate0.003
attention_unet,64,0.2,0.005,0.5092278718948364,attention_unet_n_filters64_dropout0.2_learning_rate0.005
attention_unet,64,0.3,0.001,0.5199310481548309,attention_unet_n_filters64_dropout0.3_learning_rate0.001
attention_unet,64,0.3,0.003,0.4858993351459503,attention_unet_n_filters64_dropout0.3_learning_rate0.003
attention_unet,64,0.3,0.005,0.514021122455597,attention_unet_n_filters64_dropout0.3_learning_rate0.005
attention_resunet,16,0.1,0.001,0.5761159837245942,attention_resunet_n_filters16_dropout0.1_learning_rate0.001
attention_resunet,16,0.1,0.003,0.510651433467865,attention_resunet_n_filters16_dropout0.1_learning_rate0.003
attention_resunet,16,0.1,0.005,0.4537639856338501,attention_resunet_n_filters16_dropout0.1_learning_rate0.005
attention_resunet,16,0.2,0.001,0.4349567949771881,attention_resunet_n_filters16_dropout0.2_learning_rate0.001
attention_resunet,16,0.2,0.003,0.46218384206295016,attention_resunet_n_filters16_dropout0.2_learning_rate0.003
attention_resunet,16,0.2,0.005,0.4498253107070923,attention_resunet_n_filters16_dropout0.2_learning_rate0.005
attention_resunet,16,0.3,0.001,0.4849016785621643,attention_resunet_n_filters16_dropout0.3_learning_rate0.001
attention_resunet,16,0.3,0.003,0.36790629029273986,attention_resunet_n_filters16_dropout0.3_learning_rate0.003
