architecture,learning_rate,batch_size,epochs_requested,epochs_completed,training_time_seconds,training_successful,best_val_jaccard,best_epoch,final_val_loss,final_train_loss,val_loss_stability,overfitting_gap
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,False,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
