model,experiment_name,error,n_filters,dropout,batch_norm,learning_rate
attention_resunet,attention_resunet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.1,True,0.001
attention_resunet,attention_resunet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p003,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.1,True,0.003
attention_resunet,attention_resunet_n_filters16_dropout0p1_batch_normTrue_learning_rate0p005,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.1,True,0.005
attention_resunet,attention_resunet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.2,True,0.001
attention_resunet,attention_resunet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p003,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.2,True,0.003
attention_resunet,attention_resunet_n_filters16_dropout0p2_batch_normTrue_learning_rate0p005,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.2,True,0.005
attention_resunet,attention_resunet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.3,True,0.001
attention_resunet,attention_resunet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p003,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.3,True,0.003
attention_resunet,attention_resunet_n_filters16_dropout0p3_batch_normTrue_learning_rate0p005,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 16), (None, 512, 512, 16)]",16,0.3,True,0.005
attention_resunet,attention_resunet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.1,True,0.001
attention_resunet,attention_resunet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p003,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.1,True,0.003
attention_resunet,attention_resunet_n_filters32_dropout0p1_batch_normTrue_learning_rate0p005,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.1,True,0.005
attention_resunet,attention_resunet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.2,True,0.001
attention_resunet,attention_resunet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p003,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.2,True,0.003
attention_resunet,attention_resunet_n_filters32_dropout0p2_batch_normTrue_learning_rate0p005,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.2,True,0.005
attention_resunet,attention_resunet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.3,True,0.001
attention_resunet,attention_resunet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p003,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.3,True,0.003
attention_resunet,attention_resunet_n_filters32_dropout0p3_batch_normTrue_learning_rate0p005,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 32), (None, 512, 512, 32)]",32,0.3,True,0.005
attention_resunet,attention_resunet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 64), (None, 512, 512, 64)]",64,0.1,True,0.001
attention_resunet,attention_resunet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p003,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 64), (None, 512, 512, 64)]",64,0.1,True,0.003
attention_resunet,attention_resunet_n_filters64_dropout0p1_batch_normTrue_learning_rate0p005,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 64), (None, 512, 512, 64)]",64,0.1,True,0.005
attention_resunet,attention_resunet_n_filters64_dropout0p2_batch_normTrue_learning_rate0p001,"A `Concatenate` layer requires inputs with matching shapes except for the concatenation axis. Received: input_shape=[(None, 256, 256, 64), (None, 512, 512, 64)]",64,0.2,True,0.001
