image,dilution,dilution_label,tile_idx,position_y,position_x,density
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,0,0,0,0.01404953
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,1,0,512,0.012290955
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,2,0,1024,0.013523102
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,3,0,1536,0.012779236
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,4,0,2048,0.011726379
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,5,0,2560,0.013534546
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,6,0,3072,0.011295319
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,7,512,0,0.012447357
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,8,512,512,0.009399414
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,9,512,1024,0.0126953125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,10,512,1536,0.014598846
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,11,512,2048,0.012042999
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,12,512,2560,0.012687683
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,13,512,3072,0.012630463
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,14,1024,0,0.016693115
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,15,1024,512,0.0134391785
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,16,1024,1024,0.011253357
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,17,1024,1536,0.014190674
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,18,1024,2048,0.014377594
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,19,1024,2560,0.01341629
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,20,1024,3072,0.0154418945
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,21,1536,0,0.01335907
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,22,1536,512,0.013580322
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,23,1536,1024,0.010757446
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,24,1536,1536,0.013004303
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,25,1536,2048,0.010585785
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,26,1536,2560,0.013031006
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,27,1536,3072,0.014183044
10x_2025-05-15_02-05-00.tif,10,10x,0,0,0,0.8108902
10x_2025-05-15_02-05-00.tif,10,10x,1,0,512,0.87008286
10x_2025-05-15_02-05-00.tif,10,10x,2,0,1024,0.8697853
10x_2025-05-15_02-05-00.tif,10,10x,3,0,1536,0.8745537
