image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,0,0,0,0.01404953,0.9550933837890625,0.8130531311035156
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,1,0,512,0.012290955,0.9714012145996094,0.6598358154296875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,2,0,1024,0.013523102,0.967864990234375,0.9738388061523438
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,3,0,1536,0.012775421,0.9727401733398438,0.9734344482421875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,4,0,2048,0.011726379,0.9722633361816406,0.7375411987304688
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,5,0,2560,0.013534546,0.95477294921875,0.6406173706054688
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,6,0,3072,0.011295319,0.8795089721679688,0.7551536560058594
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,7,512,0,0.012447357,0.9026145935058594,0.7070732116699219
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,8,512,512,0.009399414,0.9682350158691406,0.7046546936035156
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,9,512,1024,0.0126953125,0.9690513610839844,0.9745712280273438
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,10,512,1536,0.014598846,0.9663619995117188,0.9735450744628906
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,11,512,2048,0.012042999,0.9719314575195312,0.9746284484863281
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,12,512,2560,0.012687683,0.9627532958984375,0.9645843505859375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,13,512,3072,0.012630463,0.95526123046875,0.668731689453125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,14,1024,0,0.016693115,0.8661575317382812,0.9656944274902344
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,15,1024,512,0.0134391785,0.9365043640136719,0.9741363525390625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,16,1024,1024,0.011253357,0.9686622619628906,0.7203178405761719
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,17,1024,1536,0.014190674,0.9632225036621094,0.6690177917480469
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,18,1024,2048,0.014377594,0.9594955444335938,0.9569587707519531
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,19,1024,2560,0.01341629,0.9665718078613281,0.9727783203125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,20,1024,3072,0.0154418945,0.9557838439941406,0.770904541015625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,21,1536,0,0.01335907,0.8290138244628906,0.9727706909179688
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,22,1536,512,0.013580322,0.8869132995605469,0.9748306274414062
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,23,1536,1024,0.010757446,0.9456977844238281,0.6556282043457031
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,24,1536,1536,0.013004303,0.9582710266113281,0.9698219299316406
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,25,1536,2048,0.010585785,0.9723472595214844,0.6143379211425781
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,26,1536,2560,0.013031006,0.9648628234863281,0.9714241027832031
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,27,1536,3072,0.014183044,0.9609603881835938,0.9590873718261719
10x_2025-05-15_02-05-00.tif,10,10x,0,0,0,0.8108902,0.4219398498535156,0.3943824768066406
10x_2025-05-15_02-05-00.tif,10,10x,1,0,512,0.87008286,0.3772735595703125,0.3609619140625
10x_2025-05-15_02-05-00.tif,10,10x,2,0,1024,0.8697853,0.3672332763671875,0.343597412109375
10x_2025-05-15_02-05-00.tif,10,10x,3,0,1536,0.8745537,0.3654136657714844,0.3364715576171875
10x_2025-05-15_02-05-00.tif,10,10x,4,0,2048,0.84664536,0.37792205810546875,0.3376808166503906
10x_2025-05-15_02-05-00.tif,10,10x,5,0,2560,0.8207512,0.4003486633300781,0.3468208312988281
10x_2025-05-15_02-05-00.tif,10,10x,6,0,3072,0.77788544,0.41656494140625,0.3492431640625
10x_2025-05-15_02-05-00.tif,10,10x,7,512,0,0.8359413,0.3993492126464844,0.3853569030761719
10x_2025-05-15_02-05-00.tif,10,10x,8,512,512,0.8726616,0.36467742919921875,0.3690605163574219
10x_2025-05-15_02-05-00.tif,10,10x,9,512,1024,0.8733597,0.3535652160644531,0.34201812744140625
10x_2025-05-15_02-05-00.tif,10,10x,10,512,1536,0.87007904,0.3574943542480469,0.3247337341308594
