image,dilution,dilution_label,tile_idx,position_y,position_x,density_threshold_0.2,density_threshold_0.5,density_threshold_0.8,density_threshold_0.95,density_clahe_otsu_pred,density_clahe_otsu_orig
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,0,0,0,0.04824829,0.01404953,0.0012779236,7.6293945e-06,0.9550933837890625,0.16543960571289062
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,1,0,512,0.035972595,0.012290955,0.0012817383,0.0,0.9714012145996094,0.325042724609375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,2,0,1024,0.033866882,0.013523102,0.001953125,0.0,0.967864990234375,0.02635955810546875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,3,0,1536,0.030239105,0.012775421,0.0018806458,0.0,0.9727401733398438,0.02613067626953125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,4,0,2048,0.028640747,0.011726379,0.0014533997,0.0,0.9722633361816406,0.2507514953613281
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,5,0,2560,0.03603363,0.013534546,0.0009613037,0.0,0.95477294921875,0.363128662109375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,6,0,3072,0.03870392,0.011295319,9.1552734e-05,0.0,0.8795089721679688,0.24284744262695312
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,7,512,0,0.055164337,0.012447357,0.0009536743,0.0,0.9026145935058594,0.028614044189453125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,8,512,512,0.033275604,0.009399414,0.0008583069,0.0,0.9682350158691406,0.22090530395507812
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,9,512,1024,0.03535843,0.0126953125,0.0013694763,0.0,0.9690513610839844,0.02555084228515625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,10,512,1536,0.035202026,0.014598846,0.0019226074,0.0,0.9663619995117188,0.0271759033203125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,11,512,2048,0.029689789,0.012042999,0.0010948181,0.0,0.9719314575195312,0.025386810302734375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,12,512,2560,0.032730103,0.012687683,0.0008773804,0.0,0.9627532958984375,0.03515625
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,13,512,3072,0.033851624,0.012630463,0.00060653687,0.0,0.95526123046875,0.3348197937011719
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,14,1024,0,0.086387634,0.016693115,0.0008583069,0.0,0.8661575317382812,0.03417205810546875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,15,1024,512,0.054973602,0.0134391785,0.0009460449,0.0,0.9365043640136719,0.0267181396484375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,16,1024,1024,0.036579132,0.011253357,0.0014266968,0.00010681152,0.9686622619628906,0.0251312255859375
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,17,1024,1536,0.03892517,0.014190674,0.0012931824,0.0,0.9632225036621094,0.3385353088378906
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,18,1024,2048,0.036209106,0.014377594,0.0019493103,1.5258789e-05,0.9594955444335938,0.042339324951171875
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,19,1024,2560,0.032798767,0.01341629,0.0013465881,0.0,0.9665718078613281,0.027698516845703125
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,20,1024,3072,0.039813995,0.0154418945,0.0013160706,0.0,0.9557838439941406,0.21624755859375
