image,dilution,dilution_label,n_tiles,mean_density,median_density,std_density,min_density,max_density
10240x_2560x_2025-05-16_00-59-00_002.tif,10240,10240x,28,0.009767259870256697,0.009918212890625,0.0009799940774851148,0.007213592529296875,0.01143646240234375
10x_2025-05-15_02-05-00.tif,10,10x,28,0.5287975583757673,0.5316371917724609,0.035557792174265065,0.449371337890625,0.5907821655273438
1280x_2025-05-16_00-59-00_002.tif,1280,1280x,28,0.01305457523890904,0.012708663940429688,0.0027420525163321685,0.00897216796875,0.018917083740234375
160x_2025-05-15_02-05-00.tif,160,160x,28,0.17830099378313338,0.16994285583496094,0.026871164539186157,0.145599365234375,0.24743270874023438
2025-05-16_00-59-00_002.tif,1,undiluted,28,0.0023944037301199777,0.0024051666259765625,0.0007870872058612155,0.00102996826171875,0.005222320556640625
20x_2025-05-15_02-05-00.tif,20,20x,28,0.4209936686924526,0.4329814910888672,0.03726904335686085,0.31938934326171875,0.47522735595703125
320x_2025-05-15_02-05-00.tif,320,320x,28,0.07380717141287667,0.06937217712402344,0.013280529203262887,0.058155059814453125,0.11791229248046875
5120x_2025-05-16_00-59-00_002.tif,5120,5120x,28,0.004609652927943638,0.004177093505859375,0.0015356961713443133,0.00228118896484375,0.00992584228515625
640x_2025-05-16_00-59-00_002.tif,640,640x,28,0.036212376185825894,0.030710220336914062,0.014020419767094831,0.01812744140625,0.06761550903320312
80x_1_2025-05-22_14-48-00_003.tif,80,80x,28,0.37148966108049664,0.37157440185546875,0.018145348655589887,0.32387542724609375,0.41251373291015625
80x_2_2025-05-22_14-48-00.tif,80,80x,28,0.3097496032714844,0.3082084655761719,0.015344590403215383,0.2863044738769531,0.34168243408203125
