architecture,batch_size,dropout,loss_function,learning_rate,best_val_jacard,best_epoch,total_epochs,final_val_jacard,checkpoint_path
resunet,8,0.3,combined_tversky,5e-05,0.30652913451194763,28,58,0.16371871531009674,hyperparam_comprehensive_20251012_005054/model_resunet_bs8_dr0.3_combined_tversky.hdf5
attention_resunet,8,0.3,focal_tversky,5e-05,0.26430726051330566,28,58,0.1639075130224228,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs8_dr0.3_focal_tversky.hdf5
attention_resunet,8,0.3,combined,5e-05,0.2493485063314438,28,58,0.1594138890504837,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs8_dr0.3_combined.hdf5
unet,8,0.3,focal_tversky,5e-05,0.24458569288253784,28,58,0.14703921973705292,hyperparam_comprehensive_20251012_005054/model_unet_bs8_dr0.3_focal_tversky.hdf5
unet,8,0.3,combined,5e-05,0.23103490471839905,28,58,0.1497725248336792,hyperparam_comprehensive_20251012_005054/model_unet_bs8_dr0.3_combined.hdf5
attention_resunet,8,0.3,combined,5e-05,0.2199041098356247,28,58,0.13360337913036346,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs8_dr0.3_combined.hdf5
resunet,8,0.3,combined_tversky,5e-05,0.21863692998886108,28,58,0.1489400565624237,hyperparam_comprehensive_20251012_005054/model_resunet_bs8_dr0.3_combined_tversky.hdf5
attention_resunet,4,0.3,focal,5e-05,0.21852175891399384,35,65,0.20264549553394318,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs4_dr0.3_focal.hdf5
unet,4,0.3,combined_tversky,5e-05,0.2127269059419632,35,65,0.19273947179317474,hyperparam_comprehensive_20251012_005054/model_unet_bs4_dr0.3_combined_tversky.hdf5
attention_resunet,6,0.3,combined,5e-05,0.21239221096038818,15,45,0.21150422096252441,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs6_dr0.3_combined.hdf5
attention_resunet,4,0.3,focal_tversky,5e-05,0.20674242079257965,11,41,0.10948308557271957,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs4_dr0.3_focal_tversky.hdf5
attention_resunet,4,0.3,focal_tversky,5e-05,0.20434324443340302,35,65,0.18670473992824554,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs4_dr0.3_focal_tversky.hdf5
attention_resunet,6,0.3,focal_tversky,5e-05,0.20349512994289398,15,45,0.19732028245925903,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs6_dr0.3_focal_tversky.hdf5
unet,4,0.3,focal_tversky,5e-05,0.2012922763824463,74,100,0.13406910002231598,hyperparam_comprehensive_20251012_005054/model_unet_bs4_dr0.3_focal_tversky.hdf5
resunet,6,0.3,combined,5e-05,0.20077753067016602,15,45,0.19815853238105774,hyperparam_comprehensive_20251012_005054/model_resunet_bs6_dr0.3_combined.hdf5
resunet,4,0.3,combined_tversky,5e-05,0.19956634938716888,11,41,0.11094162613153458,hyperparam_comprehensive_20251012_005054/model_resunet_bs4_dr0.3_combined_tversky.hdf5
resunet,6,0.3,combined,5e-05,0.19694122672080994,15,45,0.18642649054527283,hyperparam_comprehensive_20251012_005054/model_resunet_bs6_dr0.3_combined.hdf5
resunet,6,0.3,focal,5e-05,0.1933354139328003,92,100,0.19146119058132172,hyperparam_comprehensive_20251012_005054/model_resunet_bs6_dr0.3_focal.hdf5
attention_resunet,6,0.3,focal_tversky,5e-05,0.19023191928863525,39,69,0.1789620816707611,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs6_dr0.3_focal_tversky.hdf5
attention_resunet,6,0.3,focal_tversky,5e-05,0.18960009515285492,15,45,0.18268036842346191,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs6_dr0.3_focal_tversky.hdf5
attention_resunet,4,0.3,combined_tversky,5e-05,0.18934373557567596,33,63,0.14044398069381714,hyperparam_comprehensive_20251012_005054/model_attention_resunet_bs4_dr0.3_combined_tversky.hdf5
resunet,6,0.3,combined_tversky,5e-05,0.1883966028690338,15,45,0.18020319938659668,hyperparam_comprehensive_20251012_005054/model_resunet_bs6_dr0.3_combined_tversky.hdf5
resunet,6,0.3,combined,5e-05,0.1860533058643341,4,34,0.1207938939332962,hyperparam_comprehensive_20251012_005054/model_resunet_bs6_dr0.3_combined.hdf5
resunet,4,0.3,focal_tversky,5e-05,0.18405818939208984,16,46,0.1523725390434265,hyperparam_comprehensive_20251012_005054/model_resunet_bs4_dr0.3_focal_tversky.hdf5
unet,6,0.3,combined_tversky,5e-05,0.18032285571098328,15,45,0.17604441940784454,hyperparam_comprehensive_20251012_005054/model_unet_bs6_dr0.3_combined_tversky.hdf5
resunet,6,0.3,combined,5e-05,0.1784893274307251,4,34,0.11173699796199799,hyperparam_comprehensive_20251012_005054/model_resunet_bs6_dr0.3_combined.hdf5
resunet,6,0.3,combined_tversky,5e-05,0.1778763085603714,4,34,0.1098746657371521,hyperparam_comprehensive_20251012_005054/model_resunet_bs6_dr0.3_combined_tversky.hdf5
unet,6,0.3,combined_tversky,5e-05,0.1768595278263092,4,34,0.10727570205926895,hyperparam_comprehensive_20251012_005054/model_unet_bs6_dr0.3_combined_tversky.hdf5
unet,6,0.3,focal,5e-05,0.17479728162288666,4,34,0.1120687872171402,hyperparam_comprehensive_20251012_005054/model_unet_bs6_dr0.3_focal.hdf5
unet,4,0.3,focal_tversky,5e-05,0.17312569916248322,4,34,0.15746934711933136,hyperparam_comprehensive_20251012_005054/model_unet_bs4_dr0.3_focal_tversky.hdf5
