architecture,config,config_name,fold,train_samples,val_samples,best_val_jaccard,best_val_dice,best_epoch,final_val_jaccard,final_train_jaccard,overfitting_gap,epochs_trained,batch_size_used,oom_retries,success,filename_prefix
unet,"{'learning_rate': 0.0001, 'dropout': 0.2, 'batch_size': 4}",unet_lr0.0001_drop0.2_bs4,1,65,33,0.13064990937709808,0.20969316363334656,0,0.05137951672077179,0.46777382493019104,10.453072190284729,8,4,0,True,unet_fold1_lr0.0001_drop0.2_bs4
unet,"{'learning_rate': 0.0001, 'dropout': 0.2, 'batch_size': 4}",unet_lr0.0001_drop0.2_bs4,2,65,33,0.1112348884344101,0.18072277307510376,0,0.045186977833509445,0.484485387802124,11.73166036605835,8,4,0,True,unet_fold2_lr0.0001_drop0.2_bs4
unet,"{'learning_rate': 0.0001, 'dropout': 0.2, 'batch_size': 4}",unet_lr0.0001_drop0.2_bs4,3,66,32,0.13936492800712585,0.22146379947662354,0,0.05406118184328079,0.40572884678840637,6.882098317146301,8,4,0,True,unet_fold3_lr0.0001_drop0.2_bs4
unet,"{'learning_rate': 0.0001, 'dropout': 0.3, 'batch_size': 4}",unet_lr0.0001_drop0.3_bs4,1,65,33,0.1315120905637741,0.2107647806406021,0,0.044278815388679504,0.4634193181991577,9.474420547485352,8,4,0,True,unet_fold1_lr0.0001_drop0.3_bs4
unet,"{'learning_rate': 0.0001, 'dropout': 0.3, 'batch_size': 4}",unet_lr0.0001_drop0.3_bs4,2,65,33,0.10961020737886429,0.17872509360313416,0,0.03397833928465843,0.5083035826683044,12.108827382326126,8,4,0,True,unet_fold2_lr0.0001_drop0.3_bs4
unet,"{'learning_rate': 0.0001, 'dropout': 0.3, 'batch_size': 4}",unet_lr0.0001_drop0.3_bs4,3,66,32,0.21891456842422485,0.30199575424194336,2,0.0415731705725193,0.4220065474510193,7.893660664558411,10,4,0,True,unet_fold3_lr0.0001_drop0.3_bs4
unet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",unet_lr5e-05_drop0.2_bs4,1,65,33,0.13539066910743713,0.21547721326351166,0,0.06991641968488693,0.41346240043640137,7.007735967636108,8,4,0,True,unet_fold1_lr5e-05_drop0.2_bs4
unet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",unet_lr5e-05_drop0.2_bs4,2,65,33,0.11360287666320801,0.18353313207626343,0,0.03979192674160004,0.51810222864151,12.838900089263916,8,4,0,True,unet_fold2_lr5e-05_drop0.2_bs4
unet,"{'learning_rate': 5e-05, 'dropout': 0.2, 'batch_size': 4}",unet_lr5e-05_drop0.2_bs4,3,66,32,0.1492091417312622,0.23284479975700378,0,0.0750313550233841,0.3385956287384033,4.891325533390045,8,4,0,True,unet_fold3_lr5e-05_drop0.2_bs4
unet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",unet_lr5e-05_drop0.3_bs4,1,65,33,0.13761946558952332,0.21802197396755219,0,0.0618770532310009,0.4279114007949829,5.134952068328857,8,4,0,True,unet_fold1_lr5e-05_drop0.3_bs4
unet,"{'learning_rate': 5e-05, 'dropout': 0.3, 'batch_size': 4}",unet_lr5e-05_drop0.3_bs4,2,65,33,0.11555370688438416,0.18588900566101074,0,0.053413644433021545,0.46314573287963867,11.482831835746765,8,4,0,True,unet_fold2_lr5e-05_drop0.3_bs4
