architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
unet,16,0.1,0.001,0.6139018058776855,unet_n_filters16_dropout0.1_learning_rate0.001
unet,16,0.1,0.003,0.46591219305992126,unet_n_filters16_dropout0.1_learning_rate0.003
unet,16,0.1,0.005,0.46438931226730346,unet_n_filters16_dropout0.1_learning_rate0.005
unet,16,0.2,0.001,0.5001551389694214,unet_n_filters16_dropout0.2_learning_rate0.001
unet,16,0.2,0.003,0.19509126767516136,unet_n_filters16_dropout0.2_learning_rate0.003
unet,16,0.2,0.005,0.4786734998226166,unet_n_filters16_dropout0.2_learning_rate0.005
unet,16,0.3,0.001,0.44102352261543276,unet_n_filters16_dropout0.3_learning_rate0.001
unet,16,0.3,0.003,7.971218268787439e-10,unet_n_filters16_dropout0.3_learning_rate0.003
unet,16,0.3,0.005,0.038445006124675274,unet_n_filters16_dropout0.3_learning_rate0.005
unet,32,0.1,0.001,0.6416596293449401,unet_n_filters32_dropout0.1_learning_rate0.001
unet,32,0.1,0.003,0.5374632239341736,unet_n_filters32_dropout0.1_learning_rate0.003
unet,32,0.1,0.005,0.4354549467563629,unet_n_filters32_dropout0.1_learning_rate0.005
unet,32,0.2,0.001,0.4782186210155487,unet_n_filters32_dropout0.2_learning_rate0.001
unet,32,0.2,0.003,0.48499643206596377,unet_n_filters32_dropout0.2_learning_rate0.003
unet,32,0.2,0.005,0.48342408537864684,unet_n_filters32_dropout0.2_learning_rate0.005
unet,32,0.3,0.001,0.5085339546203613,unet_n_filters32_dropout0.3_learning_rate0.001
unet,32,0.3,0.003,0.45520596504211425,unet_n_filters32_dropout0.3_learning_rate0.003
unet,32,0.3,0.005,0.5150634825229645,unet_n_filters32_dropout0.3_learning_rate0.005
unet,64,0.1,0.001,0.5534487843513489,unet_n_filters64_dropout0.1_learning_rate0.001
unet,64,0.1,0.003,0.4603438198566437,unet_n_filters64_dropout0.1_learning_rate0.003
unet,64,0.1,0.005,0.4910839021205902,unet_n_filters64_dropout0.1_learning_rate0.005
unet,64,0.2,0.001,0.5914566338062286,unet_n_filters64_dropout0.2_learning_rate0.001
unet,64,0.2,0.003,0.4451923668384552,unet_n_filters64_dropout0.2_learning_rate0.003
unet,64,0.2,0.005,0.008122251695021987,unet_n_filters64_dropout0.2_learning_rate0.005
