architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
unet,16,0.1,0.001,0.614640760421753,unet_n_filters16_dropout0.1_learning_rate0.001
unet,16,0.1,0.003,0.5816020369529724,unet_n_filters16_dropout0.1_learning_rate0.003
unet,16,0.1,0.005,0.5093447089195251,unet_n_filters16_dropout0.1_learning_rate0.005
unet,16,0.2,0.001,0.5880712389945983,unet_n_filters16_dropout0.2_learning_rate0.001
unet,16,0.2,0.003,0.576146149635315,unet_n_filters16_dropout0.2_learning_rate0.003
unet,16,0.2,0.005,0.5317872822284698,unet_n_filters16_dropout0.2_learning_rate0.005
unet,16,0.3,0.001,0.5927255511283874,unet_n_filters16_dropout0.3_learning_rate0.001
unet,16,0.3,0.003,0.5336970329284668,unet_n_filters16_dropout0.3_learning_rate0.003
unet,16,0.3,0.005,0.5332951664924621,unet_n_filters16_dropout0.3_learning_rate0.005
unet,32,0.1,0.001,0.6330337882041931,unet_n_filters32_dropout0.1_learning_rate0.001
unet,32,0.1,0.003,0.5721485912799835,unet_n_filters32_dropout0.1_learning_rate0.003
unet,32,0.1,0.005,0.614170777797699,unet_n_filters32_dropout0.1_learning_rate0.005
unet,32,0.2,0.001,0.6377273201942444,unet_n_filters32_dropout0.2_learning_rate0.001
unet,32,0.2,0.003,0.584003084897995,unet_n_filters32_dropout0.2_learning_rate0.003
unet,32,0.2,0.005,0.5528897821903229,unet_n_filters32_dropout0.2_learning_rate0.005
unet,32,0.3,0.001,0.5632017254829407,unet_n_filters32_dropout0.3_learning_rate0.001
unet,32,0.3,0.003,0.5156109273433686,unet_n_filters32_dropout0.3_learning_rate0.003
unet,32,0.3,0.005,0.5001066625118256,unet_n_filters32_dropout0.3_learning_rate0.005
unet,64,0.1,0.001,0.5694277286529541,unet_n_filters64_dropout0.1_learning_rate0.001
unet,64,0.1,0.003,0.5699443697929383,unet_n_filters64_dropout0.1_learning_rate0.003
unet,64,0.1,0.005,0.5959521293640136,unet_n_filters64_dropout0.1_learning_rate0.005
unet,64,0.2,0.001,0.6367861866950989,unet_n_filters64_dropout0.2_learning_rate0.001
unet,64,0.2,0.003,0.5834198594093323,unet_n_filters64_dropout0.2_learning_rate0.003
unet,64,0.2,0.005,0.5055805444717407,unet_n_filters64_dropout0.2_learning_rate0.005
unet,64,0.3,0.001,0.5607340812683106,unet_n_filters64_dropout0.3_learning_rate0.001
unet,64,0.3,0.003,0.5135579526424408,unet_n_filters64_dropout0.3_learning_rate0.003
unet,64,0.3,0.005,0.4773765981197357,unet_n_filters64_dropout0.3_learning_rate0.005
