architecture,n_filters,dropout,learning_rate,best_val_iou,model_name
unet,16,0.1,0.001,0.5518303513526917,unet_n_filters16_dropout0.1_learning_rate0.001
unet,16,0.1,0.003,0.4087454915046692,unet_n_filters16_dropout0.1_learning_rate0.003
unet,16,0.1,0.005,0.43045111298561095,unet_n_filters16_dropout0.1_learning_rate0.005
unet,16,0.2,0.001,0.5433861613273621,unet_n_filters16_dropout0.2_learning_rate0.001
unet,16,0.2,0.003,0.4542185366153717,unet_n_filters16_dropout0.2_learning_rate0.003
unet,16,0.2,0.005,0.4900239586830139,unet_n_filters16_dropout0.2_learning_rate0.005
unet,16,0.3,0.001,0.49293087124824525,unet_n_filters16_dropout0.3_learning_rate0.001
unet,16,0.3,0.003,0.45789709091186526,unet_n_filters16_dropout0.3_learning_rate0.003
unet,16,0.3,0.005,0.4654315412044525,unet_n_filters16_dropout0.3_learning_rate0.005
unet,32,0.1,0.001,0.5974069356918335,unet_n_filters32_dropout0.1_learning_rate0.001
unet,32,0.1,0.003,0.5026848673820495,unet_n_filters32_dropout0.1_learning_rate0.003
unet,32,0.1,0.005,0.5128452718257904,unet_n_filters32_dropout0.1_learning_rate0.005
unet,32,0.2,0.001,0.5694518387317657,unet_n_filters32_dropout0.2_learning_rate0.001
unet,32,0.2,0.003,0.49690744280815125,unet_n_filters32_dropout0.2_learning_rate0.003
unet,32,0.2,0.005,0.469239741563797,unet_n_filters32_dropout0.2_learning_rate0.005
unet,32,0.3,0.001,0.47260616421699525,unet_n_filters32_dropout0.3_learning_rate0.001
unet,32,0.3,0.003,0.4681808531284332,unet_n_filters32_dropout0.3_learning_rate0.003
unet,32,0.3,0.005,0.39608901739120483,unet_n_filters32_dropout0.3_learning_rate0.005
unet,64,0.1,0.001,0.5890897750854492,unet_n_filters64_dropout0.1_learning_rate0.001
unet,64,0.1,0.003,0.5212107121944427,unet_n_filters64_dropout0.1_learning_rate0.003
unet,64,0.1,0.005,0.4932951688766479,unet_n_filters64_dropout0.1_learning_rate0.005
unet,64,0.2,0.001,0.5660555362701416,unet_n_filters64_dropout0.2_learning_rate0.001
unet,64,0.2,0.003,0.520749419927597,unet_n_filters64_dropout0.2_learning_rate0.003
unet,64,0.2,0.005,0.4473534822463989,unet_n_filters64_dropout0.2_learning_rate0.005
unet,64,0.3,0.001,0.48479059934616087,unet_n_filters64_dropout0.3_learning_rate0.001
unet,64,0.3,0.003,0.5107422590255737,unet_n_filters64_dropout0.3_learning_rate0.003
unet,64,0.3,0.005,0.45539712309837344,unet_n_filters64_dropout0.3_learning_rate0.005
attention_unet,16,0.1,0.001,0.5414365351200103,attention_unet_n_filters16_dropout0.1_learning_rate0.001
attention_unet,16,0.1,0.003,0.4545391023159027,attention_unet_n_filters16_dropout0.1_learning_rate0.003
attention_unet,16,0.1,0.005,0.5444230258464813,attention_unet_n_filters16_dropout0.1_learning_rate0.005
attention_unet,16,0.2,0.001,0.48428980708122255,attention_unet_n_filters16_dropout0.2_learning_rate0.001
attention_unet,16,0.2,0.003,0.5174190759658813,attention_unet_n_filters16_dropout0.2_learning_rate0.003
attention_unet,16,0.2,0.005,0.4548677742481232,attention_unet_n_filters16_dropout0.2_learning_rate0.005
attention_unet,16,0.3,0.001,0.3340394526720047,attention_unet_n_filters16_dropout0.3_learning_rate0.001
attention_unet,16,0.3,0.003,0.4920328617095947,attention_unet_n_filters16_dropout0.3_learning_rate0.003
attention_unet,16,0.3,0.005,0.19774040281772615,attention_unet_n_filters16_dropout0.3_learning_rate0.005
attention_unet,32,0.1,0.001,0.5431545734405517,attention_unet_n_filters32_dropout0.1_learning_rate0.001
attention_unet,32,0.1,0.003,0.4608079373836517,attention_unet_n_filters32_dropout0.1_learning_rate0.003
attention_unet,32,0.1,0.005,0.5228355169296265,attention_unet_n_filters32_dropout0.1_learning_rate0.005
attention_unet,32,0.2,0.001,0.5298073530197144,attention_unet_n_filters32_dropout0.2_learning_rate0.001
attention_unet,32,0.2,0.003,0.504794979095459,attention_unet_n_filters32_dropout0.2_learning_rate0.003
attention_unet,32,0.2,0.005,0.45644551515579224,attention_unet_n_filters32_dropout0.2_learning_rate0.005
attention_unet,32,0.3,0.001,0.5169360518455506,attention_unet_n_filters32_dropout0.3_learning_rate0.001
attention_unet,32,0.3,0.003,0.48192853927612306,attention_unet_n_filters32_dropout0.3_learning_rate0.003
attention_unet,32,0.3,0.005,0.439258348941803,attention_unet_n_filters32_dropout0.3_learning_rate0.005
attention_unet,64,0.1,0.001,0.5871027171611786,attention_unet_n_filters64_dropout0.1_learning_rate0.001
attention_unet,64,0.1,0.003,0.5602482169866562,attention_unet_n_filters64_dropout0.1_learning_rate0.003
attention_unet,64,0.1,0.005,0.46186683773994447,attention_unet_n_filters64_dropout0.1_learning_rate0.005
attention_unet,64,0.2,0.001,0.5341023206710815,attention_unet_n_filters64_dropout0.2_learning_rate0.001
attention_unet,64,0.2,0.003,0.4925089359283447,attention_unet_n_filters64_dropout0.2_learning_rate0.003
attention_unet,64,0.2,0.005,0.5113689303398132,attention_unet_n_filters64_dropout0.2_learning_rate0.005
attention_unet,64,0.3,0.001,0.5367776393890381,attention_unet_n_filters64_dropout0.3_learning_rate0.001
attention_unet,64,0.3,0.003,0.48548120856285093,attention_unet_n_filters64_dropout0.3_learning_rate0.003
attention_unet,64,0.3,0.005,0.4940875172615051,attention_unet_n_filters64_dropout0.3_learning_rate0.005
attention_resunet,16,0.1,0.001,0.5302223443984986,attention_resunet_n_filters16_dropout0.1_learning_rate0.001
attention_resunet,16,0.1,0.003,0.42384796142578124,attention_resunet_n_filters16_dropout0.1_learning_rate0.003
attention_resunet,16,0.1,0.005,0.502792489528656,attention_resunet_n_filters16_dropout0.1_learning_rate0.005
