image,dilution,tile_idx,position_y,position_x,unet_density,attention_unet_density,attention_resunet_density
10240x_2025-05-29_02-22-00_002,10240,0,0,0,0.0030097961,0.0024299622,0.003452301
10240x_2025-05-29_02-22-00_002,10240,1,0,512,0.0014762878,0.001121521,0.0016021729
10240x_2025-05-29_02-22-00_002,10240,2,0,1024,0.0016937256,0.0012435913,0.0017700195
10240x_2025-05-29_02-22-00_002,10240,3,0,1536,0.0007095337,0.0005302429,0.0008392334
10240x_2025-05-29_02-22-00_002,10240,4,0,2048,0.0024261475,0.0016860962,0.0026893616
10240x_2025-05-29_02-22-00_002,10240,5,0,2560,0.0012168884,0.0009613037,0.0013046265
10240x_2025-05-29_02-22-00_002,10240,6,0,3072,0.0002708435,0.00025177002,0.0002975464
10240x_2025-05-29_02-22-00_002,10240,7,512,0,0.0032081604,0.0023078918,0.0032844543
10240x_2025-05-29_02-22-00_002,10240,8,512,512,0.0018386841,0.0011940002,0.002090454
10240x_2025-05-29_02-22-00_002,10240,9,512,1024,0.0018959045,0.0014762878,0.002216339
10240x_2025-05-29_02-22-00_002,10240,10,512,1536,0.0016860962,0.0009727478,0.0018348694
10240x_2025-05-29_02-22-00_002,10240,11,512,2048,2.2888184e-05,0.0,5.722046e-05
10240x_2025-05-29_02-22-00_002,10240,12,512,2560,0.0017242432,0.0013465881,0.0020370483
10240x_2025-05-29_02-22-00_002,10240,13,512,3072,0.0014038086,0.0010643005,0.0014305115
10240x_2025-05-29_02-22-00_002,10240,14,1024,0,0.0014457703,0.0010070801,0.0016708374
10240x_2025-05-29_02-22-00_002,10240,15,1024,512,0.0,0.0,0.0
10240x_2025-05-29_02-22-00_002,10240,16,1024,1024,0.0023880005,0.001914978,0.0027236938
10240x_2025-05-29_02-22-00_002,10240,17,1024,1536,0.0004348755,0.00035476685,0.0005226135
10240x_2025-05-29_02-22-00_002,10240,18,1024,2048,0.0006828308,0.0005302429,0.0008239746
10240x_2025-05-29_02-22-00_002,10240,19,1024,2560,0.0018081665,0.0012016296,0.0018501282
10240x_2025-05-29_02-22-00_002,10240,20,1024,3072,0.001209259,0.00088119507,0.0012550354
10240x_2025-05-29_02-22-00_002,10240,21,1536,0,0.002521515,0.0016288757,0.003063202
10240x_2025-05-29_02-22-00_002,10240,22,1536,512,0.0010147095,0.00077819824,0.0011024475
10240x_2025-05-29_02-22-00_002,10240,23,1536,1024,0.0011634827,0.0006904602,0.0015106201
10240x_2025-05-29_02-22-00_002,10240,24,1536,1536,0.0008239746,0.0005226135,0.0011062622
10240x_2025-05-29_02-22-00_002,10240,25,1536,2048,0.000705719,0.00051498413,0.0007095337
10240x_2025-05-29_02-22-00_002,10240,26,1536,2560,0.0011100769,0.00078964233,0.001159668
10240x_2025-05-29_02-22-00_002,10240,27,1536,3072,0.0008201599,0.0005340576,0.0011711121
1280x_2025-05-16_00-59-00_002,1280,0,0,0,0.018188477,0.013809204,0.018875122
1280x_2025-05-16_00-59-00_002,1280,1,0,512,0.014434814,0.01128006,0.0145225525
1280x_2025-05-16_00-59-00_002,1280,2,0,1024,0.013721466,0.010688782,0.013645172
1280x_2025-05-16_00-59-00_002,1280,3,0,1536,0.014984131,0.011619568,0.015258789
1280x_2025-05-16_00-59-00_002,1280,4,0,2048,0.013763428,0.010234833,0.01374054
1280x_2025-05-16_00-59-00_002,1280,5,0,2560,0.018482208,0.01423645,0.019176483
1280x_2025-05-16_00-59-00_002,1280,6,0,3072,0.01947403,0.014640808,0.020767212
1280x_2025-05-16_00-59-00_002,1280,7,512,0,0.016658783,0.013198853,0.016464233
1280x_2025-05-16_00-59-00_002,1280,8,512,512,0.012145996,0.009223938,0.011726379
1280x_2025-05-16_00-59-00_002,1280,9,512,1024,0.011760712,0.009124756,0.011394501
